feature,importance
duplicate_device,0.14667041198264896
duplicate_hash,0.13137837494257515
duplicate_session,0.10592090849832828
gps_accuracy,0.05790097619053537
distance_from_campus,0.04870450191699148
inside_geofence,0.026655320048168517
duplicate_browser,0.01457487443569715
scan_to_submit_time,0.0035618502912873494
latitude,0.0028162454061351093
duplicate_ip,0.0010016871300902674
longitude,0.0010003250081251913
pin_correct,0.00023493516177585104
qr_version,0.0
typing_time,-0.005874062118539347
