feature,importance
distance_from_campus,0.14256328890520545
scan_to_submit_time,0.1392266171236322
duplicate_session,0.11958012757009771
inside_geofence,0.11679744810828079
duplicate_hash,0.11624330945635267
duplicate_device,0.09087212028127575
typing_time,0.07920460538432643
gps_accuracy,0.0490437767586966
duplicate_browser,0.042821201671776304
duplicate_ip,0.027881778011087124
longitude,0.026500404548006087
latitude,0.022646879127874178
pin_correct,0.017897516994231467
qr_version,0.008720926059157237
